TrialId,Scenario,001 Please choose your gender. a)Male b)Female,002 Please enter your age.,003 Education. Please choose one. a)Some school but no degree  b)High school graduate  c)Some college but no degree  d)Bachelor’s degree e)Master’s degree f)Professional degree  g)Doctorate  h)Other,004 Employment status. Please choose one. a)Employed full-time  b)Employed part-time  c)Self-employed  d)Homemaker  e)Student  f)Retired  g)Unemployed  h)Other,"005 Annual gross household income. Please choose one. a)Less than $20,000  b)$20,000 to $34,999  c)$35,000 to $49,999  d)$50,000 to $74,999  e)$75,000 to $99,999  f)$100,000 or more",006 What is your average daily Internet usage in hours? Choose one of the answers below. a)Less than an hour b)1–2 h c)2–4 h d)4–6 h e)More than 6 h,007 How many times did you purchase products online in the last 12 months? Choose one of the answers below. a)Never b)Once or twice c)3–6 times d)Monthly e)Bi-Weekly f)Weekly,"008 What amount did you spend online in the last 12 months? Choose one of the answers below. a)0$ b)1–50$ c)51–100$ d)101–200$ e)201–500$ f)501–1,000$ g)Over 1,000$",009 Which social networks do you use on a regular basis (at least once a week)? Choose one or multiple answers below. a)Facebook b)Instagram c)Twitter d)Snapchat e)LinkedIn f)None of these,"010 How sensitive would you consider the ""Device used"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","011 How sensitive would you consider the ""Geograhical Location"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","012 How sensitive would you consider the ""Past browsing behavior"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","013 How sensitive would you consider the ""Past shopping behavior"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","014 How sensitive would you consider the ""Social Media Data"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","015 How willing would you be to provide your ""Device used"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","016 How willing would you be to provide your ""Geograhical Location"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","017 How willing would you be to provide your ""Past browsing behavior"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","018 How willing would you be to provide your ""Past shopping behavior"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","019 How willing would you be to provide your ""Social Media Data"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","020 The price I paid was… (1 = Extremely Unfair, 7 = Extremely Fair)","021 The price I paid was… (1 = Extremely Unacceptable, 7 = Extremely Acceptable)","022 The price I paid was… (1 = Extremely Unreasonable, 7 = Extremely Reasonable)","023 How likely would you be to buy something from this online shop? (1 = Very Unlikely, 7 = Very Likely)","024 How likely would you be to shop at this online shop in the future? (1 = Very Unlikely, 7 = Very Likely)","025 How likely would you be to return to this online shop? (1 = Very Unlikely, 7 = Very Likely)","026 Before making a purchase decision in the future, I would visit other sites to check their prices. (1 = Very Unlikely, 7 = Very Likely)","027 Before making a purchase decision in the future, I would search for more information about the prices of alternatives. (1 = Very Unlikely, 7 = Very Likely)","028 Before making a purchase decision in the future, I would visit other retailers for a lower price. (1 = Very Unlikely, 7 = Very Likely)","029 To me buying a new smartphone is… (1 = Unimportant, 7 = Important)","030 To me buying a new smartphone is… (1 = Boring, 7 = Interesting)","031 To me buying a new smartphone is… (1 = Irrelevant, 7 = Relevant)","032 To me buying a new smartphone is… (1 = Unexciting, 7 = Exciting)","033 To me buying a new smartphone is… (1 = Unappealing, 7 = Appealing)","034 To me buying a new smartphone is… (1 = Mundane, 7 = Fascinating)","035 To me buying a new smartphone is… (1 = Worthless, 7 = Valuable)",036 What is the price you paid for your new smartphone? Choose one of the answers below. a)$80 b)$100 c)$120,"037 The scenario presented is easy to understand. (1 = Strongly Disagree, 7 = Strongly Agree)","038 The scenario presented seems realistic to me, regardless of the prices stated. (1 = Strongly Disagree, 7 = Strongly Agree)"
,,00 Demographics,00 Demographics,00 Demographics,00 Demographics,00 Demographics,11 Daily Internet Usage,12 Frequency of Online Purchases,13 Money Spent for Online Purchases,14 Social Media Usage,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,19 Willingness to Reveal Information,19 Willingness to Reveal Information,19 Willingness to Reveal Information,19 Willingness to Reveal Information,19 Willingness to Reveal Information,01 Distributive Price Fairness Perception,01 Distributive Price Fairness Perception,01 Distributive Price Fairness Perception,03 Purchase Intention,03 Purchase Intention,03 Purchase Intention,04 Future Search Intention,04 Future Search Intention,04 Future Search Intention,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,15 Manipulation Check Price Direction,17 Realism Check,17 Realism Check
0,Disadvantaged Customer,"b) Female, as I identify as a female.",35,"b) High school graduate, as it is my highest education level.","d) Homemaker, as I currently manage my household and am not formally employed.","c) $35,000 to $49,999, reflecting my middle income level.","c) 2–4 h, as I spend a moderate amount of time online daily for research and communication.","c) 3–6 times, as I shop online occasionally throughout the year.","d) 101–200$, based on occasional online purchases including the smartphone.","a) Facebook b) Instagram, as I use them regularly to stay connected with friends and family.",5 Device used feels fairly sensitive because it can reveal personal preferences and influence pricing.,6 Geographical location is quite sensitive as it relates to privacy and potential unfair pricing based on where I live.,6 Past browsing behavior seems very sensitive as it reveals my interests and habits for targeted pricing.,"6 Past shopping behavior is very sensitive because it shows what and how much I buy, affecting prices offered.",7 Social media data is very sensitive due to the personal and detailed information it contains about my life and preferences.,"3 I am somewhat reluctant to provide ""Device used"" information because of privacy concerns.",2 I am not very willing to provide my geographical location due to privacy and security concerns.,2 I am not willing to provide my past browsing behavior as it feels too invasive.,3 I am somewhat reluctant to provide past shopping behavior since it reveals my buying habits.,1 I am not willing to provide social media data because it is very personal and sensitive.,1 The price I paid feels extremely unfair compared to my friend's lower price for the same product.,1 The price I paid is extremely unacceptable given the price disparity for the same smartphone.,1 The price I paid seems extremely unreasonable compared to my friend's.,2 I would be unlikely to buy from this online shop again due to the unfair price difference.,2 I would be very unlikely to shop there again because of the pricing unfairness.,2 I am very unlikely to return to this online shop after this experience.,7 I am very likely to compare prices on other sites before buying again.,7 I am very likely to research price alternatives before purchasing in the future to avoid unfair prices.,7 I am very likely to check other retailers to find better prices in the future.,5 Buying a new smartphone is important to me as it is a significant purchase but not urgent.,4 Buying a new smartphone is somewhat interesting as I enjoy new technology but it is also a practical decision.,6 Buying a new smartphone feels relevant to my daily life and communication needs.,4 Buying a new smartphone is moderately exciting because it’s a useful upgrade but not something thrilling.,5 Buying a new smartphone is appealing as it improves my connectivity and daily tasks.,3 Buying a new smartphone feels somewhat mundane as it’s a common and practical purchase.,6 Buying a new smartphone is valuable because it enhances my communication and productivity.,"b) $100, as that is the price I paid for the smartphone.",7 The scenario is clear and easy to understand.,7 The scenario seems realistic to me despite the price differences.
1,Same Price,"b) Female, as stated in the profile.",28,"b) High school graduate, as stated in the profile.","a) Employed full-time, consistent with high income level.","f) $100,000 or more, as I have a high income level.","c) 2–4 h, typical for research and online shopping activities.","d) Monthly, since I know the online shop from previous purchases.","g) Over 1,000$, consistent with high income and frequent online purchases.","a b e) Facebook Instagram LinkedIn, as common networks used by adults.","5, I consider the device used somewhat sensitive for personalized pricing.","6, geographical location feels quite sensitive for price discrimination.","5, past browsing behavior is moderately sensitive for personalized pricing.","6, past shopping behavior is quite sensitive in pricing decisions.","7, social media data is very sensitive for personalized pricing.","4, I am somewhat willing to share my device used information.","3, I am not very willing to share my geographical location.","3, I am not very willing to share my past browsing behavior.","3, I am not very willing to share past shopping behavior information.","2, I am mostly unwilling to share my social media data.","7, the price I paid was extremely fair since it was the same as my friend's.","7, the price I paid was extremely acceptable because it matched my friend's price.","7, the price I paid was extremely reasonable as it was fair and consistent.","7, I am very likely to buy from this online shop again because of positive experience.","7, I am very likely to shop here in the future due to trust and prior good experience.","7, I am very likely to return as I have a good experience with this shop.","6, I would very likely compare prices on other sites before buying.","7, I am very likely to search for more information on prices of alternatives.","6, I am very likely to visit other retailers to find a lower price.","6, buying a new smartphone is important to me for communication and productivity.","5, buying a new smartphone is fairly interesting because of technology features.","6, buying a new smartphone is relevant to my needs and lifestyle.","5, buying a new smartphone is somewhat exciting due to new features and updates.","6, buying a new smartphone is appealing because it enhances my daily life.","5, buying a new smartphone is moderately fascinating due to technology advances.","7, buying a new smartphone is valuable for staying connected and productive.","b) $100, as stated in the scenario.","7, the scenario was clear and easy to understand.","7, the scenario seems realistic based on common online shopping experiences."
10,Disadvantaged Customer,"a) Male, as indicated in my profile.",25,"e) Master’s degree, as stated in my profile.","a) Employed full-time, consistent with middle income and my profile.","d) $50,000 to $74,999, fitting my middle income level.","c) 2–4 h, as I research online often but have other activities too.","c) 3–6 times, since I’m a somewhat regular online shopper.","e) 201–500$, considering my purchasing frequency and product types.","a b e, for staying connected socially and professionally.","5, because the device information can reveal a lot about user habits and influence pricing.","6, location data is quite personal and can strongly affect pricing strategies.","5, because browsing behavior reveals interests but is less directly personal than location.","5, since shopping habits are somewhat personal and can influence prices.","6, social media data is quite revealing and personal, affecting perceptions of fairness.","3, I’m somewhat hesitant to share device details as it feels intrusive.","2, I am reluctant to share my location due to privacy concerns.","3, I am cautious about sharing browsing behavior as it feels personal.","4, I am somewhat willing to share past shopping information as it feels less sensitive.","2, I am generally unwilling to share social media data due to privacy reasons.","2, because I discovered my friend paid significantly less for the same product.","2, the price feels unacceptable given the price difference with my friend.","2, paying $20 more than my friend seems unreasonable for identical products.","3, the price discrepancy makes me hesitant to shop here again.","3, the price difference reduces my trust but I may still consider it with caution.","3, I am doubtful about returning soon due to the unfair pricing experience.","7, I would definitely compare prices elsewhere to avoid overpaying again.","7, gathering price information is important to ensure a fair deal.","7, I would try other retailers to find better prices.","6, buying a new smartphone is quite important given its role in daily life and work.","5, purchasing a new smartphone is fairly interesting because of the technology involved.","6, buying a new smartphone is very relevant for my communication and productivity.","5, buying a new smartphone is somewhat exciting due to the new features and capabilities.","6, buying a new smartphone is appealing because it enhances my connectivity and convenience.","4, buying a new smartphone is moderately fascinating given the technology involved.","6, buying a new smartphone is valuable as it serves important daily functions.","b) $100, as stated in the scenario.","7, the scenario was clear and straightforward to understand.","7, the scenario of price differences in online shops feels very realistic."
100,Disadvantaged Customer,b) Female,41,e) Master’s degree,a) Employed full-time,"d) $50,000 to $74,999",c) 2–4 h I spend moderate time online for work and leisure.,c) 3–6 times I shop online occasionally for convenience.,e) 201–500$ This range fits my general spending for online shopping.,a) Facebook e) LinkedIn I regularly use these for social and professional connections.,5 Device type feels fairly personal and could influence pricing unfairly.,6 Location reveals a lot about me and affects accessibility and pricing fairness.,"6 Past browsing reflects my interests and privacy, so it feels quite sensitive.","5 Past shopping shows my habits and budget, which is somewhat private.",7 Social media data is very personal and should be protected from discriminatory pricing.,4 I am somewhat willing to share device info if it improves service but cautious about misuse.,"3 Location is sensitive, so I’m reluctant to share it with marketers.",2 I am generally unwilling to share my browsing history due to privacy concerns.,3 I’m somewhat hesitant to share shopping history but could consider it for better deals.,"1 Social media data is very private, so I’m not willing to share it with marketers.",2 The price I paid feels unfair given my friend paid less for the same product.,2 The price I paid feels unacceptable compared to my friend’s price.,2 The price I paid seems unreasonable knowing someone paid significantly less.,3 I’m less likely to buy again due to pricing inconsistency.,3 I would be hesitant to shop there again because of the price difference.,3 I would be cautious about returning due to the price discrepancy.,7 I would definitely check other sites first to avoid overpaying.,7 I am very likely to research prices thoroughly before buying again.,7 I am very likely to look for better prices at other retailers.,6 Buying a new smartphone is important as it affects daily communication and productivity.,5 Buying a new smartphone is quite interesting because of the technology and features.,6 Buying a new smartphone is relevant since it impacts my daily tasks and connectivity.,5 Buying a new smartphone is somewhat exciting because it’s a significant upgrade.,5 Buying a new smartphone is appealing due to the new technology and features available.,4 Buying a new smartphone is moderately fascinating as it combines technology and personal use.,6 Buying a new smartphone is valuable because it supports my communication and work needs.,b) $100 That is the price I paid at the online shop.,7 The scenario was clear and easy to follow.,6 The scenario feels realistic as price differences can occur in online shopping.
101,Disadvantaged Customer,"b) Female, as stated in my profile.",30,"e) Master’s degree, as indicated in my background.","a) Employed full-time, consistent with my middle income level.","d) $50,000 to $74,999, reflecting a middle income level.","c) 2–4 h, typical for personal and professional use.","c) 3–6 times, aligning with moderate online shopping habits.","d) 101–200$, consistent with buying a $100 smartphone and some additional purchases.","a b e) Facebook Instagram LinkedIn, common for social and professional connections.","5 Device used can reveal personal preferences and influence pricing, so it feels fairly sensitive.",6 Geographical location is quite sensitive as it can reveal where I live and affect pricing unfairly.,5 Past browsing behavior is moderately sensitive because it tracks my interests and habits online.,4 Past shopping behavior is somewhat sensitive as it relates to my purchasing patterns but feels less intrusive.,"6 Social media data is quite sensitive since it can include personal opinions, contacts, and activities.",3 I am hesitant to provide device information as it feels somewhat intrusive.,2 I am reluctant to share my geographical location due to privacy concerns.,3 I am cautious about sharing past browsing behavior because it reveals my interests and habits.,4 I am somewhat willing to share past shopping behavior as it feels more relevant to marketing but still with some reservation.,2 I am generally unwilling to provide social media data due to privacy and personal boundaries.,2 The price I paid feels unfair given my friend paid significantly less for the same product.,2 The price feels unacceptable considering the cheaper price my friend received for the same item.,2 The price seems unreasonable because it was notably higher than my friend's price.,3 I am somewhat unlikely to purchase again soon due to the price discrepancy experienced.,3 I am somewhat unlikely to shop there in the future given the price unfairness.,3 I am somewhat unlikely to return because of the negative pricing experience.,7 I would very likely compare prices on other sites to avoid paying more than necessary.,7 I would very likely research alternative prices to ensure a fair deal.,7 I would very likely check other retailers to find a lower price before deciding.,6 Buying a new smartphone is important as it is a significant purchase impacting communication and daily life.,5 Buying a new smartphone is interesting because of the technology and features involved.,6 Buying a new smartphone is relevant since it affects my connectivity and productivity.,5 Buying a new smartphone is fairly exciting due to the anticipation of new features.,5 Buying a new smartphone is appealing because it supports my daily activities and communication.,4 Buying a new smartphone is somewhat mundane but still interesting due to the technological aspects.,6 Buying a new smartphone is valuable because it serves important functions in my life.,"b) $100, the price I paid in the scenario.",7 The scenario is straightforward and clear to understand.,6 The scenario seems realistic as price differences can happen in online shopping.
102,Disadvantaged Customer,"a) Male, as given in my profile.",21,"e) Master's degree, as stated in my profile.","a) Employed full-time, given my high income level and education.","f) $100,000 or more, reflecting my high income.","d) 4–6 h, typical for someone well-informed about online shopping.","d) Monthly, as I frequently shop online and know this shop from previous purchases.","g) Over 1,000$, consistent with frequent online purchases and high income.","a b e, Facebook, Instagram, and LinkedIn for socializing and professional networking.",6 Device used feels quite personal and could easily be exploited for price discrimination.,5 Location is important but less sensitive than device data in my view.,"6 Past browsing behavior reveals interests and intentions, quite sensitive.","5 Past shopping behavior shows spending habits and preferences, moderately sensitive.","6 Social media data can be very revealing personally, so quite sensitive.",3 I am rather hesitant to provide device information due to privacy concerns.,4 I might provide location data in some circumstances but with reservation.,2 I am mostly unwilling to share my past browsing behavior as it feels too intrusive.,4 I am somewhat willing to share past shopping behavior as it relates directly to shopping preferences.,"2 Social media data is very personal, so I am generally unwilling to provide it.",2 The price I paid seems very unfair compared to my friend paying $80.,2 The price feels quite unacceptable given the price difference with my friend.,2 The price I paid seems quite unreasonable compared to my friend's lower price.,3 I would be somewhat unlikely to buy again due to perceived unfair pricing.,3 I am hesitant to shop there again because of the price discrepancy.,3 Unlikely to return soon given the unfair pricing experience.,7 I am very likely to compare prices on other sites before buying again.,7 I am very likely to research prices and alternatives carefully next time.,7 I am very likely to visit other retailers to find a better price.,6 Buying a new smartphone is important as it affects daily communication and productivity.,5 I find buying a new smartphone quite interesting due to technology and features.,6 Buying a new smartphone is relevant to my lifestyle and needs.,5 It is fairly exciting because of the new capabilities and upgrade.,6 Buying a new smartphone is appealing because of the benefits and status symbol.,"4 It is somewhat fascinating, but not extremely so.",6 Buying a new smartphone is valuable for connectivity and convenience.,"b) $100, as in the scenario I paid this amount.",7 The scenario is straightforward and clear.,"6 The scenario seems quite realistic, price variations do happen in real life."
103,Same Price,"b) Female, as stated in the profile information.",26,"e) Master’s degree, as stated in the profile information.","a) Employed full-time, consistent with having a high income level.","f) $100,000 or more, based on the profile indicating a high income level.","d) 4–6 h, typical for a young professional with high internet familiarity.","d) Monthly, reflecting frequent online shopping based on profile.","g) Over 1,000$, consistent with frequent online shopping and high income level.","a b e, I use Facebook, Instagram, and LinkedIn regularly for personal and professional networking.",5 I consider the device used as moderately sensitive information for personalized pricing.,6 Geographical location is quite sensitive as it can reveal much about my lifestyle and environment.,7 Past browsing behavior is very sensitive as it reflects my interests and preferences closely.,7 Past shopping behavior is very sensitive as it directly relates to my purchasing habits and willingness to pay.,6 Social media data is quite sensitive since it contains personal and social information.,4 I am somewhat willing to provide device information as it's less intrusive but still cautious.,3 I am not very willing to provide geographical location due to privacy concerns.,2 I am reluctant to provide past browsing behavior because it feels very private.,3 I am somewhat unwilling to provide past shopping behavior as it's quite personal.,3 I am somewhat unwilling to provide social media data due to privacy concerns.,"7 The price I paid was extremely fair, especially since my friend paid the same amount.",7 The price I paid was extremely acceptable as it matched my friend's price.,7 The price I paid was extremely reasonable given the product and comparison.,7 I am very likely to buy from this online shop again since the price was fair and consistent.,7 I am very likely to shop at this online shop in the future due to my positive experience.,7 I am very likely to return to this online shop because of my satisfaction with the purchase.,6 I am very likely to visit other sites to compare prices before my future purchases.,7 I am very likely to search for price information about alternatives before making future purchases.,6 I am very likely to visit other retailers for a better price before purchasing.,6 Buying a new smartphone is important to me as it is a significant personal and professional tool.,6 Buying a new smartphone is interesting to me because of the technological features and options involved.,7 Buying a new smartphone is very relevant to my daily life and work needs.,6 Buying a new smartphone is exciting as it often means new technology and features.,6 Buying a new smartphone is appealing due to the utility and innovation it offers.,5 Buying a new smartphone is moderately fascinating because it combines practical needs with technological interest.,7 Buying a new smartphone is valuable as it supports my connectivity and productivity.,"b) $100, as stated in the scenario.",7 I strongly agree that the scenario presented is easy to understand.,7 I strongly agree that the scenario seems realistic regardless of the prices.
104,Disadvantaged Customer,"a) Male, as stated in my profile.",25,"b) High school graduate, as stated in my profile.","a) Employed full-time, consistent with my high income level.","f) $100,000 or more, because of high income level stated.","c) 2–4 h, typical for someone researching and purchasing online.","d) Monthly, since I am familiar with this online shop from previous purchases.","g) Over 1,000$, reflecting a high income and frequent online shopping.","a b e, I use Facebook, Instagram, and LinkedIn regularly.","5, device information feels moderately sensitive for price personalization.","6, location data is quite sensitive for pricing decisions.","5, past browsing behavior moderately sensitive for price personalization.","6, past shopping data is quite sensitive for pricing offers.","6, social media data is quite sensitive when used for pricing.","4, somewhat willing to provide device information for better service.","3, less willing to share location due to privacy concerns.","3, cautious about sharing browsing history.","4, somewhat willing to share past shopping behavior for relevance.","2, generally reluctant to share social media information.","2, paying $100 when my friend paid $80 feels unfair.","2, paying more than my friend is unacceptable.","2, the higher price compared to my friend seems unreasonable.","4, I might still buy but feel cautious after this price difference.","4, I would consider shopping here again but remain skeptical.","4, I might return but with some hesitation.","7, definitely check other sites to avoid overpaying again.","7, I would thoroughly research alternative prices before buying.","7, I will look for cheaper options elsewhere before deciding.","5, buying a new smartphone is fairly important to me.","5, I find buying a new smartphone somewhat interesting.","6, buying a new smartphone is relevant to my needs.","5, it is moderately exciting to buy a new smartphone.","6, buying a new smartphone is appealing to me.","4, somewhat mundane but not completely dull.","6, I consider a new smartphone valuable.","b) $100, as stated in the scenario.","7, the scenario was clear and easy to understand.","6, the scenario seems realistic concerning online price variations."
105,Favored Customer,"b) Female, I identify as female.",30,"b) High school graduate, that is my highest education level.","a) Employed full-time, I currently work full-time.","f) $100,000 or more, my income level is high.","d) 4–6 h, I typically spend several hours online each day.","d) Monthly, I usually shop online about once a month.","g) Over 1,000$, I spend quite a bit shopping online annually.","a b, I regularly use Facebook and Instagram.","5, I consider the device used moderately sensitive for price personalization.","6, I find geographical location to be quite sensitive information for price discrimination.","5, past browsing behavior is fairly sensitive for personalized pricing.","5, I consider past shopping behavior fairly sensitive for personalized pricing.","6, social media data feels quite sensitive for price discrimination purposes.","4, I am somewhat willing to share device information with marketers.","3, I am hesitant to provide my geographical location to marketers.","3, I am reluctant to share my past browsing behavior.","4, I am somewhat willing to provide past shopping behavior to marketers.","2, I am not very willing to share my social media data with marketers.","6, I consider the price I paid for the smartphone to be mostly fair.","6, the price I paid was largely acceptable to me.","6, I find the price I paid quite reasonable.","6, I am quite likely to buy from this online shop again.","6, I am likely to shop at this online shop in the future.","6, I would very likely return to this online shop.","7, I am very likely to compare prices on other sites before purchasing.","7, I would definitely look for more price information on alternatives before buying.","7, I am very likely to check other retailers for better prices before buying.","7, buying a new smartphone is very important to me.","6, I find buying a new smartphone interesting.","7, buying a new smartphone is highly relevant to me.","6, purchasing a new smartphone feels exciting to me.","6, buying a new smartphone is quite appealing to me.","5, I find buying a new smartphone somewhat fascinating.","7, buying a new smartphone is very valuable to me.","b) $100, that is the price I paid for my smartphone.","7, the scenario was very easy to understand.","7, the scenario seems very realistic to me."
