TrialId,Scenario,001 Please choose your gender. a)Male b)Female,002 Please enter your age.,003 Education. Please choose one. a)Some school but no degree  b)High school graduate  c)Some college but no degree  d)Bachelor’s degree e)Master’s degree f)Professional degree  g)Doctorate  h)Other,004 Employment status. Please choose one. a)Employed full-time  b)Employed part-time  c)Self-employed  d)Homemaker  e)Student  f)Retired  g)Unemployed  h)Other,"005 Annual gross household income. Please choose one. a)Less than $20,000  b)$20,000 to $34,999  c)$35,000 to $49,999  d)$50,000 to $74,999  e)$75,000 to $99,999  f)$100,000 or more",006 What is your average daily Internet usage in hours? Choose one of the answers below. a)Less than an hour b)1–2 h c)2–4 h d)4–6 h e)More than 6 h,007 How many times did you purchase products online in the last 12 months? Choose one of the answers below. a)Never b)Once or twice c)3–6 times d)Monthly e)Bi-Weekly (only in Study 2) f)Weekly,"008 What amount did you spend online in the last 12 months? Choose one of the answers below. a)0$ b)1–50$ c)51–100$ d)101–200$ e)201–500$ f)501–1,000$ g)Over 1,000$",009 Which social networks do you use on a regular basis (at least once a week)? Choose one or multiple answers below. a)Facebook b)Instagram c)Twitter d)Snapchat e)LinkedIn f)None of these,"010 How sensitive would you consider the ""Device used"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","011 How sensitive would you consider the ""Geograhical Location"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","012 How sensitive would you consider the ""Past browsing behavior"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","013 How sensitive would you consider the ""Past shopping behavior"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","014 How sensitive would you consider the ""Social Media Data"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","015 How willing would you be to provide your ""Device used"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","016 How willing would you be to provide your ""Geograhical Location"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","017 How willing would you be to provide your ""Past browsing behavior"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","018 How willing would you be to provide your ""Past shopping behavior"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","019 How willing would you be to provide your ""Social Media Data"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","020 The price I paid was… (1 = Extremely Unfair, 7 = Extremely Fair)","021 The price I paid was… (1 = Extremely Unacceptable, 7 = Extremely Acceptable)","022 The price I paid was… (1 = Extremely Unreasonable, 7 = Extremely Reasonable)","023 How likely would you be to buy something from this online shop? (1 = Very Unlikely, 7 = Very Likely)","024 How likely would you be to shop at this online shop in the future? (1 = Very Unlikely, 7 = Very Likely)","025 How likely would you be to return to this online shop? (1 = Very Unlikely, 7 = Very Likely)","026 Before making a purchase decision in the future, I would visit other sites to check their prices. (1 = Very Unlikely, 7 = Very Likely)","027 Before making a purchase decision in the future, I would search for more information about the prices of alternatives. (1 = Very Unlikely, 7 = Very Likely)","028 Before making a purchase decision in the future, I would visit other retailers for a lower price. (1 = Very Unlikely, 7 = Very Likely)","029 To me buying a new smartphone is… (1 = Unimportant, 7 = Important)","030 To me buying a new smartphone is… (1 = Boring, 7 = Interesting)","031 To me buying a new smartphone is… (1 = Irrelevant, 7 = Relevant)","032 To me buying a new smartphone is… (1 = Unexciting, 7 = Exciting)","033 To me buying a new smartphone is… (1 = Unappealing, 7 = Appealing)","034 To me buying a new smartphone is… (1 = Mundane, 7 = Fascinating)","035 To me buying a new smartphone is… (1 = Worthless, 7 = Valuable)",036 What is the price you paid for your new smartphone? Choose one of the answers below. a)$80 b)$100 c)$120,"037 The scenario presented is easy to understand. (1 = Strongly Disagree, 7 = Strongly Agree)","038 The scenario presented seems realistic to me, regardless of the prices stated. (1 = Strongly Disagree, 7 = Strongly Agree)"
,,00 Demographics,00 Demographics,00 Demographics,00 Demographics,00 Demographics,11 Daily Internet Usage,12 Frequency of Online Purchases,13 Money Spent for Online Purchases,14 Social Media Usage,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,19 Willingness to Reveal Information,19 Willingness to Reveal Information,19 Willingness to Reveal Information,19 Willingness to Reveal Information,19 Willingness to Reveal Information,01 Distributive Price Fairness Perception,01 Distributive Price Fairness Perception,01 Distributive Price Fairness Perception,03 Purchase Intention,03 Purchase Intention,03 Purchase Intention,04 Future Search Intention,04 Future Search Intention,04 Future Search Intention,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,15 Manipulation Check Price Direction,17 Realism Check,17 Realism Check
0,Disadvantaged Customer,a) Male because I identified as male earlier.,47,"a) Some school but no degree, aligning with the earlier numeric representation of education level 5 on a 0-100 scale.","a) Employed full-time, consistent with employment level 88 indicating strong job engagement.","e) $75,000 to $99,999, as income level 62 suggests moderate to upper-middle income bracket.","c) 2–4 h, since I am a mature adult with a full-time job but also enough leisure time to use the internet moderately.","c) 3–6 times, reflecting a moderate online shopping frequency based on familiarity with online shops.","d) 101–200$, consistent with buying a $100 smartphone and possibly other small purchases.","a b e) Facebook, Instagram, and LinkedIn are social networks I use regularly to keep up with friends, news, and professional contacts.",5 I consider device information somewhat sensitive as it can reveal personal preferences and usage habits that affect pricing.,"6 Geographical location feels quite sensitive because it can pinpoint where I live or work, affecting privacy and pricing.","5 Past browsing behavior is fairly sensitive as it shows my interests and preferences, which can be exploited for pricing.",6 Past shopping behavior is very sensitive because it directly reflects my buying habits and willingness to pay.,"6 Social media data feels quite sensitive since it contains personal opinions, connections, and activities that can be used to profile me.",3 I am somewhat reluctant to provide device information because it can reveal too much about my habits and preferences.,2 I am not very willing to share my geographical location due to privacy concerns.,3 I'm hesitant to share past browsing data because it feels quite personal and sensitive.,"4 I am somewhat willing to provide past shopping behavior since it can improve offers, but still cautious about privacy.",2 I am generally unwilling to share social media data because it feels too personal and invasive.,2 The price I paid feels quite unfair since my friend bought the same smartphone for $80 while I paid $100.,2 The price feels largely unacceptable given the $20 price difference with my friend's purchase.,2 The price seems quite unreasonable because I ended up paying significantly more than my friend for the same product.,3 I am somewhat unlikely to buy again soon due to feeling unfairly charged compared to my friend.,3 I am somewhat unlikely to shop here again soon because of the perceived price unfairness.,3 I am somewhat unlikely to return soon since the price discrepancy made me lose trust in the shop.,7 I am very likely to compare prices on other sites to avoid overpaying again.,7 I am very likely to research and compare prices before buying again to ensure I get the best deal.,7 I am very likely to visit other retailers to find a lower price and avoid paying more than necessary.,6 Buying a new smartphone is important to me because it is essential for communication and daily tasks.,5 Buying a new smartphone is somewhat interesting as I enjoy exploring new technology but it can also be routine.,6 Buying a new smartphone is relevant to me because it impacts my connectivity and productivity.,5 Buying a new smartphone is moderately exciting because I look forward to new features but it’s not overly thrilling.,5 Buying a new smartphone is fairly appealing as it helps me stay updated with technology and improves my daily life.,"4 Buying a new smartphone is somewhat mundane because while it’s necessary, it’s also a common and routine purchase.",6 Buying a new smartphone is valuable to me because it enhances communication and access to information.,b) $100 because that's the price I paid in the scenario described.,7 The scenario was clear and straightforward to follow.,6 The scenario seems quite realistic as it’s common for prices to vary online.
1,Same Price,"b) Female, as explained earlier, I identify as female.",42,"d) Bachelor’s degree, as explained earlier, I have a Bachelor’s degree.","a) Employed full-time, which aligns with the 73 employment level indicating steady full-time work.","f) $100,000 or more, reflecting the relatively high household income I indicated earlier.","c) 2–4 h, I typically spend a moderate amount of time online daily for work and personal use.","c) 3–6 times, I usually buy products online a few times a year based on need.","d) 101–200$, considering I bought a $100 smartphone and possibly a few other smaller online purchases.","a b e, I use Facebook, Instagram, and LinkedIn regularly for social and professional connections.","5 Device used feels quite personal and could be used to adjust prices based on device type, so moderately sensitive.",6 Geographical location is quite sensitive as it can reveal much about where I live and might influence pricing unfairly.,"5 Past browsing behavior feels personal and private, so I find it moderately sensitive for pricing decisions.","5 Past shopping behavior is fairly sensitive because it reveals my buying patterns, so moderately sensitive.","6 Social media data is very personal and revealing, so I consider it highly sensitive for price discrimination.",4 I am somewhat willing to provide device used information as it seems less intrusive.,3 I am reluctant to provide my geographical location because it's quite personal and sensitive.,3 I am somewhat unwilling to provide my past browsing behavior as it feels private.,4 I am moderately willing to provide past shopping behavior since it helps with relevant offers but still feels personal.,2 I am generally unwilling to provide social media data as it is very personal and sensitive.,"7 The price I paid, $100 for the smartphone, feels extremely fair, especially since my friend paid the same.",7 The price I paid was extremely acceptable since it matches the fair price paid by my friend at the same online shop.,7 The price I paid was extremely reasonable given the quality and market value of the smartphone.,7 I am very likely to buy from this online shop again since the transaction was fair and smooth.,7 I am very likely to shop at this online shop in the future because of the positive experience.,7 I am very likely to return to this online shop based on my satisfaction with the purchase.,6 I would very likely visit other sites to compare prices before making future purchases.,6 I am very likely to search for more information about prices of alternatives to ensure I get the best deal.,6 I would very likely visit other retailers to look for a lower price before making a purchase decision.,6 Buying a new smartphone is important to me as it is essential for communication and daily tasks.,5 Buying a new smartphone is interesting to me because I like exploring new technology but it is also a practical purchase.,7 Buying a new smartphone is very relevant to me as it plays a key role in my daily life.,5 Buying a new smartphone is somewhat exciting because I enjoy new features but it's also a routine purchase.,6 Buying a new smartphone is appealing to me since I value staying updated with good technology.,4 Buying a new smartphone is somewhat mundane to me as it is a regular necessity but sometimes fascinating with new models.,7 Buying a new smartphone is valuable to me because it enhances my productivity and connectivity.,"b) $100, as mentioned earlier, I paid $100 for the smartphone.",7 The scenario presented is very clear and easy to understand.,7 The scenario seems realistic to me as buying the same product from the same shop on the same day is quite likely.
10,Disadvantaged Customer,"a) Male, as I identified myself closer to male in the previous explanation.",43,"d) Bachelor’s degree, as I indicated a moderate to high level of education previously.","a) Employed full-time, based on my previous explanation of a high employment score.","f) $100,000 or more, as I indicated a relatively high household income before.","c) 2–4 h, because as a working adult with a good income, I likely spend a moderate amount of time online daily.","c) 3–6 times, since I am familiar with the online shop from previous purchases but don't shop extremely frequently.","e) 201–500$, as I have bought several items online including the $100 smartphone, making this range reasonable.","a b e) Facebook, Instagram, and LinkedIn, as these are common for someone in my demographic and professional status.",4 I consider the device used somewhat sensitive but not extremely so for personalized price discrimination.,5 I feel geographic location is fairly sensitive information for personalized price discrimination.,6 Past browsing behavior feels quite sensitive since it reveals a lot about my interests and preferences.,6 I consider past shopping behavior very sensitive as it directly reflects my purchasing habits and spending patterns.,"6 Social media data is very sensitive because it includes personal opinions, connections, and preferences that I prefer to keep private.","3 I am somewhat hesitant to provide device information because I value some privacy, though it's not the most sensitive data.","3 I am reluctant to share my geographical location due to privacy concerns, even though it can be useful for offers.",2 I am not very willing to share my past browsing behavior because it feels very personal and invasive.,2 I am unwilling to provide past shopping behavior as it's closely tied to my spending habits and privacy.,2 I am not willing to share my social media data due to its personal and sensitive nature.,2 The price I paid feels quite unfair since my friend paid significantly less for the same smartphone at the same shop.,2 The price I paid feels quite unacceptable because it is much higher compared to my friend's price.,2 The price I paid seems unreasonable given that my friend was charged considerably less for the exact same item.,3 I would feel hesitant to buy from this online shop again due to the large price discrepancy between me and my friend.,3 I am somewhat unlikely to shop at this online shop in the future because of the unfair price difference I experienced.,"3 I would be unlikely to return to this online shop soon, feeling disappointed by the price disparity.",7 I would very likely visit other sites to compare prices before making a purchase to avoid paying more than necessary.,7 I would very likely search for more price information on alternatives to ensure I get the best deal.,7 I am very likely to visit other retailers to find a lower price before buying.,6 Buying a new smartphone is important to me as it is a key device for daily communication and work.,5 Buying a new smartphone is interesting since I like exploring new technology and features.,6 Buying a new smartphone is relevant to me because it affects my day-to-day communication and productivity.,5 Buying a new smartphone is somewhat exciting because of the new features and technology it brings.,5 Buying a new smartphone is fairly appealing as it offers improved functionality and status.,4 Buying a new smartphone is somewhat mundane but has fascinating aspects related to the technology.,6 Buying a new smartphone is valuable to me because it enhances my communication and daily life.,"b) $100, as stated in the scenario I paid that amount for the smartphone.","7 The scenario was clear and straightforward, making it easy to understand.","6 The scenario seems realistic since price differences in online shopping can happen, even if the amount is quite large here."
100,Disadvantaged Customer,"b) Female, as I explained earlier, my gender aligns closer to female.",37,"d) Bachelor’s degree, as explained, my education level corresponds to this choice.","a) Employed full-time, since the earlier number 85 suggested full employment status.","a) Less than $20,000, because the household income number 5 indicated very low income.","c) 2–4 h, I use the Internet moderately daily for work and leisure.","c) 3–6 times, I shop online occasionally but not very frequently.","d) 101–200$, as I have made several moderate purchases online.","a b e) Facebook, Instagram, and LinkedIn are networks I use regularly for social and professional connections.","5 I consider ""Device used"" somewhat sensitive because it can reveal personal preferences but is not highly private.",6 Geographical location is quite sensitive because it can reveal a lot about my personal life and context.,6 Past browsing behavior is quite sensitive since it reveals interests and habits online.,5 Past shopping behavior is moderately sensitive because it shows preferences but is expected in commerce.,6 Social media data is highly sensitive due to the personal and social information it exposes.,"4 I am somewhat willing to provide ""Device used"" information as it seems less intrusive.",3 I am less willing to provide geographical location due to its sensitive nature and privacy concerns.,3 I am cautious and less willing to share past browsing behavior due to privacy worries.,5 I am moderately willing to share past shopping behavior as it is common for marketing purposes.,2 I am generally unwilling to provide social media data because it feels very personal and private.,2 The price I paid feels unfair since my friend paid $20 less for the same phone at the same shop.,2 The price I paid feels unacceptable due to the noticeable price difference with my friend's purchase.,2 The price I paid does not seem reasonable because I paid significantly more than my friend for the same product.,3 I am somewhat unlikely to buy from this shop again because of the unfair price difference experienced.,3 I am somewhat unlikely to shop here in the future due to feeling treated unfairly with pricing.,3 I am somewhat unlikely to return to this shop because of the pricing inconsistency experienced.,7 I would very likely visit other sites before purchasing to compare prices and avoid overpaying.,7 I would very likely search for more information to ensure I get the best price available.,7 I would very likely visit other retailers to find a lower price before deciding on a purchase.,6 Buying a new smartphone is important to me because it is a key tool for communication and daily tasks.,5 Buying a new smartphone is interesting because it involves choosing the right features and technology.,6 Buying a new smartphone is relevant to me as it impacts my connectivity and productivity.,5 Buying a new smartphone is quite exciting because it’s a chance to upgrade my technology.,5 Buying a new smartphone is appealing because I like having updated tech and features.,4 Buying a new smartphone is somewhat mundane since it is a common event but still interesting.,6 Buying a new smartphone is valuable to me because it improves my daily life and communication.,"b) $100, as mentioned in the scenario I paid $100 for the smartphone.",7 The scenario is clear and easy to understand with all details provided.,6 The scenario seems realistic as price differences between buyers in the same shop can happen.
101,Disadvantaged Customer,a) Male,42,"d) Bachelor’s degree I have a Bachelor’s degree, which fits my education level as decided earlier.",a) Employed full-time I am employed full-time as it matches best with my employment status assumption.,"f) $100,000 or more My household income is in the higher range, fitting best with the assumed value.",c) 2–4 h I usually spend a moderate amount of time online daily.,d) Monthly I usually shop online monthly for various products.,"g) Over 1,000$ I tend to spend a significant amount online annually, reflecting my shopping habits.","a c e I regularly use Facebook, Twitter, and LinkedIn to keep up with friends and professional contacts.",5 The device used feels fairly sensitive as it can reveal personal tech preferences and usage patterns.,6 Geographical location is quite sensitive because it can reveal where I live and possibly my socioeconomic status.,5 Past browsing behavior is fairly sensitive since it shows what I am interested in and might be used to influence prices unfairly.,"5 Past shopping behavior is quite sensitive as it reveals my spending habits and preferences, which can impact pricing.",6 Social media data is very sensitive because it contains a lot of personal information and insights into my lifestyle.,3 I am somewhat reluctant to provide device information since it can be used for personalized pricing.,2 I am not very willing to share my geographical location due to privacy concerns.,2 I am reluctant to share past browsing behavior because it is quite personal.,"3 I am somewhat hesitant to share past shopping behavior as it feels personal, but I might provide it in some cases.",1 I am not willing to provide social media data as it is very private and sensitive.,2 The price I paid feels quite unfair compared to what my friend paid for the same product.,"2 The price I paid feels very unacceptable, especially since my friend paid less for the same item.",2 The price I paid seems very unreasonable compared to the lower price my friend got.,3 I would be somewhat unlikely to buy from this online shop again due to the price discrepancy.,3 I am somewhat unlikely to shop in this online shop in the future because of the price difference I experienced.,3 I am somewhat unlikely to return to this online shop given the unfair pricing experience.,7 I am very likely to visit other sites to compare prices before making a purchase to avoid overpaying.,7 I am very likely to search for more information about alternative prices before deciding to buy.,7 I am very likely to visit other retailers to find a better price before buying.,6 Buying a new smartphone is important to me because it affects my connectivity and productivity.,5 Buying a new smartphone is somewhat interesting as I like exploring new technology.,6 Buying a new smartphone is relevant to me since it impacts my daily communication and tasks.,5 Buying a new smartphone is fairly exciting because I look forward to using new features.,6 Buying a new smartphone is appealing because I enjoy having the latest technology.,4 Buying a new smartphone is somewhat mundane but still has moments of fascination with new tech aspects.,6 Buying a new smartphone is valuable to me as it improves my daily life and communication.,"b) $100 I paid $100 for the smartphone, as given in the scenario.",7 The scenario is very clear and easy to understand.,7 The scenario seems very realistic because price differences can happen in online shopping.
102,Disadvantaged Customer,"b) Female, as indicated by the earlier gender number of 23 which I interpreted as leaning towards female.",57,"g) Doctorate, reflecting the high education level number of 86.","b) Employed part-time, matching the low employment stability number of 14.","e) $75,000 to $99,999, reflecting the moderately high household income number of 69.","c) 2–4 h, as a middle-aged professional with part-time employment and advanced education likely uses the internet regularly but not excessively.","d) Monthly, as I am comfortable with online shopping from a known online shop and buy products regularly.","d) 101–200$, considering I made multiple purchases including the $100 smartphone and some additional items.","a) Facebook e) LinkedIn, as a 57-year-old professional using social networks primarily for connections and industry updates.",5 I consider device used relatively sensitive since it can reveal personal preferences and affect pricing.,6 Geographical location is quite sensitive as it relates to privacy and can strongly influence pricing based on income and cost of living.,"6 Past browsing behavior is very sensitive because it reveals a lot about interests and intentions, potentially leading to unfair pricing.","5 Past shopping behavior is somewhat sensitive as it shows buying patterns and preferences, though less invasive than browsing history.","7 Social media data is very sensitive because it often contains personal opinions, relationships, and private information.","3 I am generally reluctant to provide device information because I worry about privacy, but I might if assured of no misuse.",2 I am quite unwilling to provide geographical location due to privacy concerns and risk of price discrimination.,2 I am hesitant to share past browsing behavior because it is very personal and could be misused.,"4 I am somewhat willing to provide past shopping behavior since it could help improve recommendations, but I have privacy concerns.",1 I am very unwilling to provide social media data as it feels highly personal and intrusive.,2 The price I paid was unfair because my friend bought the exact same smartphone for $20 less on the same day.,2 The price I paid was unacceptable considering the significant price difference with my friend.,2 The price I paid was unreasonable given that the same product was available to others for much less.,3 I would be somewhat unlikely to buy again from this online shop due to feeling treated unfairly in pricing.,3 I am somewhat unlikely to shop at this online shop in the future as the price discrepancy reduces my trust.,3 I would be somewhat unlikely to return to this online shop due to feeling dissatisfied with the pricing fairness.,7 I would be very likely to visit other sites first to compare prices to avoid being overcharged again.,7 I would be very likely to search for more price information to ensure I get the best deal possible.,7 I would be very likely to visit other retailers to find a lower price before buying again.,5 Buying a new smartphone is important to me as I rely on it for communication and daily tasks.,4 Buying a new smartphone is somewhat interesting because I like technology but it’s not a hobby.,6 Buying a new smartphone is relevant to me because it affects my productivity and connectivity.,4 Buying a new smartphone is moderately exciting since it involves new features and updates but isn’t a thrilling event.,5 Buying a new smartphone is appealing because it improves my daily life and keeps me connected.,3 Buying a new smartphone is somewhat mundane as it is a routine purchase but with some interesting aspects in features.,6 Buying a new smartphone is valuable because it enhances my communication and access to information.,"b) $100, as stated in the scenario.",7 I strongly agree that the scenario presented is easy to understand.,6 I agree that the scenario seems realistic since price differences can occur in online shopping.
103,Same Price,"a) Male as explained earlier, I identify as male.",43,"d) Bachelor’s degree, as I described my education level to be moderate with some college or a Bachelor's degree.","b) Employed part-time, as I mentioned my employment level is closer to that category.","f) $100,000 or more, because my household income is relatively high as indicated by 86/100 previously.","c) 2–4 h, I use the internet moderately for work and personal purposes.","c) 3–6 times, I shop online a few times a year but not extremely frequently.","d) 101–200$, given I bought a smartphone for $100 and likely some other products online.","a b e) Facebook, Instagram, and LinkedIn are platforms I regularly use for social and professional connections.",3 Device used is somewhat important but not highly sensitive to me for price personalization.,4 Geographical location feels moderately sensitive to me because it can reveal personal details.,5 Past browsing behavior is quite sensitive as it reveals my interests and preferences.,5 Past shopping behavior is quite sensitive since it shows my buying habits and patterns.,6 Social media data feels very sensitive because it often contains personal and private information.,5 I am fairly willing to provide device information as it seems low risk.,3 I am somewhat unwilling to provide geographical location due to privacy concerns.,3 I am hesitant to share past browsing behavior because it feels intrusive.,4 I am moderately willing to share past shopping behavior as it relates to purchases and seems less sensitive than browsing.,2 I am mostly unwilling to provide social media data due to high privacy and personal content concerns.,7 The price I paid for the smartphone was extremely fair given I paid the same as my friend for the same product in the same shop.,7 The price I paid was extremely acceptable as it matched my expectations and was equal to my friend's.,7 The price I paid was extremely reasonable considering the product and the equality with my friend's purchase.,7 I would be very likely to buy from this online shop again since the price and experience were positive.,7 I am very likely to shop at this online shop in the future based on my good experience.,7 I would be very likely to return to this online shop for future purchases.,6 I am very likely to compare prices on other sites before making future purchases to ensure a good deal.,6 I am very likely to research price alternatives before making future purchases to make informed decisions.,6 I am very likely to check other retailers for better prices before buying in the future.,5 Buying a new smartphone is important to me as it's a key device for communication and daily use.,6 Buying a new smartphone is interesting because of the technology and features involved.,6 Buying a new smartphone is relevant to me as it impacts my connectivity and productivity.,6 Buying a new smartphone is exciting because I look forward to the new features and experience.,6 Buying a new smartphone is appealing to me because it upgrades my tech and lifestyle.,"5 Buying a new smartphone is somewhat fascinating as it involves choosing new technology, but it's also a somewhat routine purchase.",6 Buying a new smartphone is valuable to me because it enhances my communication and daily life.,"b) $100, as stated in the scenario and my original purchase.",7 I strongly agree that the scenario was easy to understand given its clear description.,7 I strongly agree the scenario seems realistic as buying the same phone on the same day at the same shop is plausible.
104,Disadvantaged Customer,b) Female - I identified myself as female based on the initial number explanation.,37,d) Bachelor’s degree - I chose this as my education level to match the moderate level indicated by the value 58.,"a) Employed full-time - I selected this because my employment level score was 79, leaning towards fully employed.","f) $100,000 or more - Based on the income score of 94, it corresponds to a relatively high household income.","c) 2–4 h - I typically spend a few hours online daily, mostly for work and staying connected.",c) 3–6 times - I shop online several times a year but not very frequently.,"e) 201–500$ - I have spent a moderate amount online over the past year, including my recent smartphone purchase.",a) Facebook b) Instagram e) LinkedIn - I use Facebook and Instagram to keep in touch with friends and LinkedIn for professional networking.,6 Device used feels quite sensitive to me because it can reveal a lot about my preferences and habits.,"5 Geographical location is fairly sensitive since it can reveal where I live or work, impacting pricing.",6 Past browsing behavior feels quite sensitive because it shows my interests and intentions.,6 Past shopping behavior is very sensitive as it directly reflects what I have purchased and my spending habits.,"6 Social media data is quite sensitive because it often contains personal opinions, connections, and interests.",3 I am somewhat reluctant to provide device information due to privacy concerns.,3 I am cautious about sharing my geographical location because it feels private.,"2 I am generally unwilling to share my past browsing behavior, as it is personal and sensitive.",3 I have some reservations about sharing my past shopping behavior due to privacy concerns.,2 I am mostly unwilling to provide social media data because it feels too personal and intrusive.,2 The price I paid feels unfair compared to my friend’s lower price for the same product.,2 The price I paid feels unacceptable given that my friend paid significantly less for the same item.,1 The price I paid seems very unreasonable compared to the cheaper price my friend got.,3 I would be somewhat unlikely to buy again due to the price difference and feeling treated unfairly.,3 I am somewhat unlikely to shop there again because of the unfair pricing experience.,3 I would be somewhat unlikely to return due to feeling the pricing was unfair.,7 I am very likely to compare prices on other sites before buying to avoid paying too much again.,7 I am very likely to search for price information on alternatives to ensure I get the best deal.,7 I am very likely to visit other retailers to find a lower price before purchasing.,"5 Buying a new smartphone is important to me because it is a key tool in daily life, but not the top priority.",5 Buying a new smartphone is quite interesting to me as it involves exploring new features and technology.,6 Buying a new smartphone is relevant to me because it affects my communication and productivity.,5 Buying a new smartphone is somewhat exciting because of the anticipation of using new technology.,6 Buying a new smartphone is appealing as it improves my connection and daily convenience.,4 Buying a new smartphone is somewhat mundane because it's a routine but necessary purchase.,6 Buying a new smartphone is valuable as it enhances my communication and productivity.,b) $100 - I paid this amount as stated in the scenario.,7 The scenario was very clear and easy to understand.,"6 The scenario seems quite realistic, as price differences like this can happen online."
105,Favored Customer,"b) Female, as per the previous explanation of my gender score being closer to female.",42,"d) Bachelor’s degree, matching my earlier explanation of the education score.","g) Unemployed, as indicated by the low employment score earlier.","f) $100,000 or more, reflecting the high household income score I mentioned before.","c) 2–4 h, I spend a moderate amount of time daily using the internet for research and communication.","c) 3–6 times, I shop online a few times per year for convenience.","e) 201–500$, I make occasional online purchases that add up to a few hundred dollars annually.","a b e) I use Facebook, Instagram, and LinkedIn regularly to stay connected with friends, entertainment, and professional contacts.","5 I consider ""Device used"" somewhat sensitive when used for personalized price discrimination.","6 Geographical location feels quite sensitive because it can reveal where I live or travel, impacting pricing unfairly.","6 Past browsing behavior is quite sensitive since it reveals my interests and habits, which can be used to manipulate prices.","5 Past shopping behavior is moderately sensitive, as it shows what I have purchased but is somewhat expected data for pricing strategies.","7 Social media data is very sensitive because it exposes personal opinions, networks, and interests in a detailed way.",3 I am generally reluctant to provide device information due to privacy concerns but might do so if benefits are clear.,2 I am not very willing to provide geographical location as it feels quite invasive and can be misused.,"3 I am somewhat unwilling to provide my past browsing behavior because it feels personal, though I might consider it with strong incentives.","4 I am moderately willing to provide past shopping behavior, as it seems less intrusive and may improve recommendations.",2 I am generally unwilling to share my social media data due to the high sensitivity and privacy risks involved.,7 I think the price I paid was extremely fair given the product and my research.,"7 The price I paid was extremely acceptable, it matched my expectations and budget.",7 The price I paid was extremely reasonable compared to other offers.,6 I am very likely to buy from this online shop again because I trust its pricing and service.,6 I am very likely to shop at this online shop in the future due to good past experiences.,6 I am very likely to return to this online shop because it offers products I want at good prices.,7 I am very likely to visit other sites before buying to ensure I get the best deal.,7 I am very likely to search for more price information on alternatives to make an informed purchase.,7 I am very likely to visit other retailers to find a lower price before buying.,6 Buying a new smartphone is important to me because it is a key communication tool.,5 Buying a new smartphone is interesting as I enjoy exploring new technology.,6 Buying a new smartphone is relevant to me because it affects my daily life and productivity.,5 Buying a new smartphone is exciting as it feels like upgrading my tech experience.,5 Buying a new smartphone is appealing to me because I look forward to the features and functions.,4 Buying a new smartphone is somewhat mundane but can be fascinating when considering the latest innovations.,"6 Buying a new smartphone is valuable to me, as it enhances communication and productivity.","b) $100, which is the price I mentioned buying the black smartphone for in the scenario.",7 I strongly agree that the scenario presented is easy to understand.,6 I agree the scenario seems realistic because price differences can happen online.
