TrialId,Scenario,001 Please choose your gender. a)Male b)Female,002 Please enter your age.,003 Education. Please choose one. a)Some school but no degree  b)High school graduate  c)Some college but no degree  d)Bachelor’s degree e)Master’s degree f)Professional degree  g)Doctorate  h)Other,004 Employment status. Please choose one. a)Employed full-time  b)Employed part-time  c)Self-employed  d)Homemaker  e)Student  f)Retired  g)Unemployed  h)Other,"005 Annual gross household income. Please choose one. a)Less than $20,000  b)$20,000 to $34,999  c)$35,000 to $49,999  d)$50,000 to $74,999  e)$75,000 to $99,999  f)$100,000 or more",006 What is your average daily Internet usage in hours? Choose one of the answers below. a)Less than an hour b)1–2 h c)2–4 h d)4–6 h e)More than 6 h,007 How many times did you purchase products online in the last 12 months? Choose one of the answers below. a)Never b)Once or twice c)3–6 times d)Monthly e)Bi-Weekly (only in Study 2) f)Weekly,"008 What amount did you spend online in the last 12 months? Choose one of the answers below. a)0$ b)1–50$ c)51–100$ d)101–200$ e)201–500$ f)501–1,000$ g)Over 1,000$",009 Which social networks do you use on a regular basis (at least once a week)? Choose one or multiple answers below. a)Facebook b)Instagram c)Twitter d)Snapchat e)LinkedIn f)None of these,"010 How sensitive would you consider the ""Device used"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","011 How sensitive would you consider the ""Geograhical Location"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","012 How sensitive would you consider the ""Past browsing behavior"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","013 How sensitive would you consider the ""Past shopping behavior"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","014 How sensitive would you consider the ""Social Media Data"" as an information source for personalized price discrimination? (1 = Not sensitive, 7 = Very sensitive)","015 How willing would you be to provide your ""Device used"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","016 How willing would you be to provide your ""Geograhical Location"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","017 How willing would you be to provide your ""Past browsing behavior"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","018 How willing would you be to provide your ""Past shopping behavior"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","019 How willing would you be to provide your ""Social Media Data"" as information to the marketer? (1 = Not willing to provide, 7 = Very willing to provide)","020 The price I paid was… (1 = Extremely Unfair, 7 = Extremely Fair)","021 The price I paid was… (1 = Extremely Unacceptable, 7 = Extremely Acceptable)","022 The price I paid was… (1 = Extremely Unreasonable, 7 = Extremely Reasonable)","023 How likely would you be to buy something from this online shop? (1 = Very Unlikely, 7 = Very Likely)","024 How likely would you be to shop at this online shop in the future? (1 = Very Unlikely, 7 = Very Likely)","025 How likely would you be to return to this online shop? (1 = Very Unlikely, 7 = Very Likely)","026 Before making a purchase decision in the future, I would visit other sites to check their prices. (1 = Very Unlikely, 7 = Very Likely)","027 Before making a purchase decision in the future, I would search for more information about the prices of alternatives. (1 = Very Unlikely, 7 = Very Likely)","028 Before making a purchase decision in the future, I would visit other retailers for a lower price. (1 = Very Unlikely, 7 = Very Likely)","029 To me buying a new smartphone is… (1 = Unimportant, 7 = Important)","030 To me buying a new smartphone is… (1 = Boring, 7 = Interesting)","031 To me buying a new smartphone is… (1 = Irrelevant, 7 = Relevant)","032 To me buying a new smartphone is… (1 = Unexciting, 7 = Exciting)","033 To me buying a new smartphone is… (1 = Unappealing, 7 = Appealing)","034 To me buying a new smartphone is… (1 = Mundane, 7 = Fascinating)","035 To me buying a new smartphone is… (1 = Worthless, 7 = Valuable)",036 What is the price you paid for your new smartphone? Choose one of the answers below. a)$80 b)$100 c)$120,"037 The scenario presented is easy to understand. (1 = Strongly Disagree, 7 = Strongly Agree)","038 The scenario presented seems realistic to me, regardless of the prices stated. (1 = Strongly Disagree, 7 = Strongly Agree)"
,,00 Demographics,00 Demographics,00 Demographics,00 Demographics,00 Demographics,11 Daily Internet Usage,12 Frequency of Online Purchases,13 Money Spent for Online Purchases,14 Social Media Usage,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,18 Perceived Information Sensitivity,19 Willingness to Reveal Information,19 Willingness to Reveal Information,19 Willingness to Reveal Information,19 Willingness to Reveal Information,19 Willingness to Reveal Information,01 Distributive Price Fairness Perception,01 Distributive Price Fairness Perception,01 Distributive Price Fairness Perception,03 Purchase Intention,03 Purchase Intention,03 Purchase Intention,04 Future Search Intention,04 Future Search Intention,04 Future Search Intention,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,08 Product Involvement,15 Manipulation Check Price Direction,17 Realism Check,17 Realism Check
0-01,Disadvantaged Customer,b) Female,35,b) High school graduate,d) Homemaker,"c) $35,000 to $49,999",c) 2–4 h,c) 3–6 times,d) 101–200$,a) Facebook b) Instagram,5 Device used feels somewhat sensitive as it can reveal personal preferences,6 Geographical location is very sensitive as it may disclose where I live or travel,6 Past browsing behavior is quite sensitive since it reveals my interests and habits,6 Past shopping behavior is very sensitive because it shows my spending patterns,7 Social media data is very sensitive as it exposes personal and social information,3 I am somewhat hesitant to provide device information as it feels personal,2 I am not very willing to provide my geographical location due to privacy concerns,2 I am reluctant to share my past browsing behavior because it feels very private,3 I am somewhat unwilling to share past shopping behavior as it is personal information,1 I am not willing to provide social media data as it is highly private and sensitive,5 The price I paid seems mostly fair since it was lower than my friend's price,6 The price I paid is quite acceptable because it was better than the price offered to my friend,6 The price I paid feels reasonable considering the product value,6 I would likely buy again since I got a good price and know the shop from before,6 I am likely to shop again here due to familiarity and good pricing,6 I would very likely return because my previous experience was positive,7 I would definitely check other sites to ensure I get the best price,7 I am very likely to research prices of alternatives before buying to make sure I get a good deal,7 I would definitely check other retailers to find a lower price before buying,6 Buying a new smartphone is important as it is a significant purchase for communication and daily use,5 Buying a new smartphone is fairly interesting because I enjoy researching features,6 Buying a new smartphone is relevant as it impacts my daily life and connectivity,5 Buying a new smartphone is somewhat exciting because it involves choosing something new and useful,5 Buying a new smartphone is appealing because it improves my tech use and communication,4 Buying a new smartphone is somewhat mundane as it is a regular necessity rather than a fascination,6 Buying a new smartphone is valuable because it enhances my connectivity and daily tasks,a) $80 I paid this price as it was the offer I received from the online shop,7 The scenario was clear and straightforward to understand,6 The scenario seems realistic since price differences can happen online
0-02,Same Price,,,,,,,,,,5 Device used feels moderately sensitive as it can reveal personal preferences,6 Geographical location is quite sensitive because it can reveal private information about where I am,6 Past browsing behavior is very sensitive since it reflects my personal interests and habits,6 Past shopping behavior is quite sensitive because it shows my spending and preferences,7 Social media data is very sensitive as it contains personal and social information,3 I am somewhat hesitant to share device information due to privacy concerns,2 I prefer not to provide my geographical location because it's quite private,2 I am reluctant to share past browsing behavior as it feels intrusive,3 I am somewhat unwilling to provide past shopping behavior since it is personal data,1 I am not willing to share social media data as it is very private and sensitive,6 The price I paid seems fair since my friend paid the same amount,7 The price I paid is fully acceptable as it applies equally to others,7 The price I paid feels very reasonable because it is the same for everyone,6 I am likely to buy from this shop as the pricing feels fair and transparent,6 I would likely shop here again because of the fair pricing and trust in the store,6 I am very likely to return due to positive past experiences and fair prices,7 I am very likely to compare prices on other sites to ensure the best deal,7 I am very likely to research prices of alternatives before making a purchase decision,7 I would definitely check other retailers to find a better price before buying,6 Buying a new smartphone is important as it affects my daily communication and tasks,5 Buying a new smartphone is somewhat interesting because I enjoy learning about new features,6 Buying a new smartphone is relevant since it impacts my daily connectivity and productivity,5 Buying a new smartphone feels somewhat exciting due to the anticipation of new technology,5 Buying a new smartphone is appealing because it enhances my communication and usability,"4 Buying a new smartphone is somewhat mundane as it is a necessary, routine purchase",6 Buying a new smartphone is valuable because it improves my connectivity and convenience,b) $100 I paid the price offered with the best price guarantee,7 The scenario is very clear and easy to understand,6 The scenario feels realistic as such pricing strategies are common in online shops
0-03,Favored Customer,,,,,,,,,,5 Device used is moderately sensitive as it reveals some personal info about how I access sites,6 Geographical location is quite sensitive since it reveals where I am physically located,6 Past browsing behavior is very sensitive as it shows my interests and habits online,6 Past shopping behavior is very sensitive as it reveals my purchasing habits and preferences,7 Social media data is highly sensitive as it contains personal and social information,3 I am somewhat hesitant to share device information because of privacy concerns,2 I am unlikely to share my geographical location as it feels too private,2 I prefer not to provide past browsing behavior because it is very personal data,3 I am somewhat unwilling to share past shopping behavior due to privacy concerns,1 I am not willing to share social media data as it is very private and sensitive,2 The price I paid feels unfair since my friend got a better deal,2 The price feels unacceptable because I paid more than my friend for the same product,2 The price feels unreasonable given my friend paid less for the same smartphone,2 I would be unlikely to buy again because of the unfair price difference,2 I would be unlikely to shop here again because the pricing seems unfair,2 I am unlikely to return because of the negative pricing experience,7 I am very likely to check other sites to avoid paying unfair prices,7 I will definitely research prices of alternatives before buying to ensure fairness,7 I would certainly visit other retailers to find a lower price before making a purchase,6 Buying a new smartphone is important because it affects my daily communication and tasks,4 Buying a new smartphone is somewhat interesting but not very exciting,6 Buying a new smartphone is relevant as it impacts my daily connectivity and productivity,4 Buying a new smartphone is somewhat exciting but also a routine task,4 Buying a new smartphone is somewhat appealing due to the new features but also a regular purchase,4 Buying a new smartphone is somewhat mundane as it’s a necessary but routine activity,6 Buying a new smartphone is valuable as it improves my connectivity and daily life,c) $120 I paid this higher price as offered by the online shop,7 The scenario was very clear and easy to understand,6 The scenario seems realistic as personalized prices can vary online
1-01,Disadvantaged Customer,b) Female,28,b) High school graduate,a) Employed full-time,"f) $100,000 or more",c) 2–4 h,d) Monthly,"g) Over 1,000$",a b e) Facebook Instagram LinkedIn,5 Device used feels quite relevant to personalization but not overly sensitive,6 Geographical location feels quite sensitive as it relates to privacy and possible discrimination,5 Past browsing behavior is moderately sensitive since it reveals interests but is somewhat expected in e-commerce,4 Past shopping behavior feels less sensitive as it relates to usual consumer data usage,7 Social media data is very sensitive because it reveals a lot of personal and private information,"4 I am somewhat willing to provide device info, as it seems less intrusive",3 I am reluctant to provide my geographical location due to privacy concerns,4 I am somewhat willing to provide past browsing behavior if it improves shopping experience,5 I'm fairly willing to provide past shopping behavior since it helps relevant offers,2 I am not very willing to share social media data due to its personal nature,6 The price I paid was fair since it was lower than my friend's price,6 The price I paid was acceptable because it was a good deal compared to my friend’s price,6 The price I paid was reasonable considering the price difference with my friend,6 I am very likely to buy from this shop again because I got a good price and trust the site,6 I am very likely to shop here again based on my positive experience and pricing,6 Very likely to return because the price was good and the site is reliable,7 I would very likely check other sites to ensure I get the best price,7 I would very likely research prices of alternatives before buying to make an informed decision,7 Very likely to check other retailers to find a lower price before purchasing,7 Buying a new smartphone is very important as it’s a key device for daily life and work,6 Buying a new smartphone is interesting because it involves choosing the best features and technology,7 Buying a new smartphone is very relevant since it impacts communication and productivity,6 Buying a new smartphone is exciting because it means new technology and better features,6 Buying a new smartphone is appealing as it offers improved functionality and style,"5 Buying a new smartphone is somewhat fascinating because of the tech involved, though it can be routine",7 Buying a new smartphone is valuable since it is essential for communication and daily tasks,a) $80 I paid the lower price offered to me,7 The scenario is clear and easy to understand,6 The scenario seems realistic given common personalized pricing practices
1-02,Favored Customer,,,,,,,,,,5 Device used feels moderately sensitive in this context of price discrimination,6 Geographical location remains quite sensitive due to privacy concerns and potential unfair pricing,5 Past browsing behavior is moderately sensitive because it involves tracking personal interests,4 Past shopping behavior feels less sensitive as it relates to usual consumer data usage,7 Social media data is very sensitive given its personal and private nature,4 Somewhat willing to provide device info since it's less intrusive,3 Reluctant to provide location info due to privacy concerns,4 Somewhat willing to provide past browsing data if it improves the shopping experience,5 Fairly willing to provide past shopping behavior to get relevant offers,2 Unwilling to share social media data due to its sensitive and personal nature,3 The price I paid feels unfair since my friend got a lower price,3 The price I paid feels unacceptable because I paid more than my friend for the same product,3 The price I paid seems unreasonable given that my friend paid less for the identical phone,2 I am unlikely to buy again due to feeling unfairly charged in this case,2 I am unlikely to shop again because of unfair personalized pricing practices,2 Very unlikely to return due to feeling treated unfairly with price discrimination,7 Very likely to check prices elsewhere to avoid being overcharged again,7 Very likely to research prices of alternatives to make a better buying decision,7 Very likely to visit other retailers looking for better prices before buying,7 Buying a new smartphone is important as it’s essential for communication and convenience,6 Buying a new smartphone is interesting given the new features and tech involved,7 Buying a new smartphone is relevant since it impacts my daily life and work,6 Buying a new smartphone is exciting because it means upgrading to newer technology,6 Buying a new smartphone is appealing as it offers better features and functionality,"5 Buying a new smartphone is somewhat fascinating due to technology, but can feel routine sometimes",7 Buying a new smartphone is valuable as it supports communication and daily tasks effectively,c) $120 I paid the higher price compared to my friend,7 The scenario is clear and easy to understand,6 The scenario seems realistic given common personalized pricing practices
1-03,Same Price,,,,,,,,,,4 Device used feels somewhat sensitive but less so when prices are uniform,5 Geographical location is moderately sensitive since it can affect pricing fairness,"4 Past browsing behavior is somewhat sensitive, but less concerning if prices are the same for everyone",4 Past shopping behavior is moderately sensitive but acceptable in this context of uniform pricing,6 Social media data is quite sensitive due to personal information shared there,5 Fairly willing to provide device information since it’s less private and helps with website compatibility,"4 Somewhat willing to provide location data if it leads to better service, but cautious due to privacy concerns",4 Moderately willing to share past browsing data if it enhances shopping experience,5 Fairly willing to provide past shopping behavior to receive relevant offers and discounts,3 Reluctant to share social media data due to its personal and sensitive nature,7 The price I paid was fair since it matched my friend’s price and was guaranteed best price,7 The price I paid was acceptable as it was the same as my friend’s and offered a best price guarantee,7 The price I paid was reasonable because it was fair and guaranteed as best price,6 Very likely to buy again due to fair pricing and reliable service,6 Very likely to shop here again because of consistent pricing and trustworthiness,6 Very likely to return due to positive experience and price fairness,6 Likely to check prices on other sites to ensure best deal despite good experience here,6 Likely to research prices of alternatives to make an informed choice before buying,6 I am likely to visit other retailers to look for lower prices before making a purchase,7 Buying a new smartphone is important as it’s essential for daily communication and productivity,6 Buying a new smartphone is interesting because of new features and technologies involved,7 Buying a new smartphone is relevant as it impacts my daily life and work activities,6 Buying a new smartphone is exciting because it means access to better technology and features,6 Buying a new smartphone is appealing because it offers improved functionality and style,5 Buying a new smartphone is somewhat fascinating because of the technology but can feel routine sometimes,7 Buying a new smartphone is valuable as it supports communication and everyday tasks,b) $100 I paid the guaranteed best price offered,7 The scenario is clear and easy to understand,7 The scenario seems realistic given real-world practices of pricing guarantees
10-01,Same Price,a) Male,25,"e) Master's degree, as it reflects my highest education level",a) Employed full-time,"d) $50,000 to $74,999","c) 2–4 h, as I typically spend a few hours online daily for work and personal use","c) 3–6 times, I shop online occasionally but not very frequently","f) 501–1,000$, reflecting moderate online shopping spending in the past year","a) Facebook e) LinkedIn, as I use these regularly for social and professional networking","5, I consider device information somewhat sensitive for personalized pricing but not extremely so","6, I find geographical location highly sensitive when used for personalized pricing","5, I think past browsing behavior is moderately sensitive for price personalization","4, I consider past shopping behavior somewhat sensitive but less so than location data","6, I consider social media data quite sensitive for personalized pricing decisions","5, I am fairly willing to provide device information to marketers","3, I am somewhat reluctant to provide my geographical location to marketers","4, I am moderately willing to share my past browsing behavior with marketers","5, I am fairly willing to provide past shopping behavior information to marketers","2, I am not very willing to provide my social media data to marketers due to privacy concerns","7, the price I paid was extremely fair as it matched the best price guarantee","7, the price I paid was extremely acceptable given the best price guarantee","7, the price I paid was extremely reasonable since it matched my friend's price","7, I am very likely to buy from this online shop again because of fair pricing and best price guarantee","7, I am very likely to shop at this online shop again in the future due to positive experience","7, I am very likely to return to this online shop for future purchases","6, I am quite likely to visit other sites to compare prices before buying again","6, I am likely to search for more price information on alternatives before future purchases","6, I am quite likely to visit other retailers to find a lower price before purchasing","6, buying a new smartphone is important to me as it's a significant gadget in daily life","5, buying a new smartphone is somewhat interesting due to the technology involved","6, buying a new smartphone is relevant for my personal and professional needs","5, buying a new smartphone is moderately exciting because it involves new technology and features","6, buying a new smartphone is appealing due to the useful features and upgrades it offers","4, buying a new smartphone is somewhat mundane as it’s a regular necessity but has some fascinating aspects","7, buying a new smartphone is valuable because it enhances communication and productivity","b) $100, as specified in the scenario","7, the scenario presented is clear and easy to understand","7, the scenario seems realistic regardless of the prices stated"
10-02,Favored Customer,,,,,,,,,,"5, I consider device used a moderately sensitive factor for personalized price discrimination","6, I find geographical location highly sensitive as a basis for personalized price discrimination","5, I consider past browsing behavior moderately sensitive for price discrimination","4, I think past shopping behavior is somewhat sensitive but less concerning than other data types","6, I consider social media data quite sensitive for personalized pricing decisions","5, I am fairly willing to provide device information to the marketer","3, I am somewhat unwilling to provide my geographical location to marketers due to privacy concerns","4, I have moderate willingness to share past browsing behavior with marketers","5, I am fairly willing to provide past shopping behavior information to marketers","2, I am not very willing to share my social media data with marketers due to privacy concerns","2, the price I paid feels unfair since my friend paid less for the same phone","2, the price I paid feels quite unacceptable compared to my friend's lower price","2, the price I paid seems unreasonable because it's higher than my friend's price","3, I am unlikely to buy from this online shop again given the pricing disparity","3, I am unlikely to shop at this online shop in the future due to perceived unfair pricing","3, I am unlikely to return to this online shop because of the personalized price difference","7, I am very likely to check other sites for prices before making a purchase in the future","7, I am very likely to research prices of alternatives thoroughly before buying again","7, I am very likely to visit other retailers to find a lower price before purchasing again","6, buying a new smartphone is important for communication and daily use","5, buying a new smartphone is somewhat interesting due to technology and features","6, buying a new smartphone is relevant for my personal and professional needs","5, buying a new smartphone is moderately exciting because of new updates and technology","6, buying a new smartphone is appealing due to improved features and design","4, buying a new smartphone is somewhat mundane as it’s routine but has some fascinating aspects","7, buying a new smartphone is valuable for staying connected and productive","c) $120, as stated in the scenario where I paid more than my friend","7, the scenario was clear and easy to understand","7, the scenario seems realistic despite the pricing difference"
10-03,Disadvantaged Customer,,,,,,,,,,"5, I consider device used moderately sensitive for personalized price discrimination","6, I find geographical location highly sensitive for personalized pricing","5, I consider past browsing behavior moderately sensitive for price discrimination","4, I consider past shopping behavior somewhat sensitive for personalized pricing","6, I consider social media data quite sensitive for personalized price discrimination","5, I am fairly willing to provide device information to marketers","3, I am somewhat reluctant to provide geographical location due to privacy concerns","4, I have moderate willingness to share past browsing behavior with marketers","5, I am fairly willing to provide past shopping behavior information to marketers","2, I am not very willing to provide social media data due to privacy concerns","6, the price I paid was quite fair since it was lower than my friend's price","6, the price I paid feels acceptable because I got a better deal than my friend","6, the price I paid seems reasonable as I paid less than my friend","7, I am very likely to buy from this online shop again because I got a good deal","7, I am very likely to shop at this online shop again because of the personalized lower price I received","7, I am very likely to return to this online shop for future purchases due to the favorable pricing","6, I am quite likely to visit other sites to compare prices before buying again","6, I am likely to search for price information on alternatives before future purchases","6, I am quite likely to visit other retailers to find a lower price before buying again","6, buying a new smartphone is important given its role in daily communication and work","5, buying a new smartphone is somewhat interesting because of new features and technology","6, buying a new smartphone is relevant to my needs and lifestyle","5, buying a new smartphone is moderately exciting due to new features and improvements","6, buying a new smartphone is appealing because I value the updated technology and design","4, buying a new smartphone is somewhat mundane but has interesting aspects related to technology","7, buying a new smartphone is valuable for enhancing communication and productivity","a) $80, as stated in the scenario where I paid less than my friend","7, the scenario was clear and easy to understand","7, the scenario seems realistic despite the price differences"
